content, label
well said word pollgod didnt mean sp member fuck head lol, 1
oh bastard wait busi probabl catch tail end damn, 1
loser episod lotsa cri, 1
dutch differ fat ho ho santa st nicola sinterklaa, 1
fuck, 1
duck duck duck stupid ass autocorrect, 1
lmao aint gonna front shit look kinda moist ol duncan hine ass lol, 1
program tell damn thing wth, 1
wanna see tall lanki ass playin tenni lol, 1
guy run major dick underpay pay model harass belittl, 1
yeah four year ago long memori also still hate avalanch even though suck year, 1
grew hab fan meant hate leaf move toronto meant embrac wing, 1
graphic novel class hate love still hate oh yesh how ya boy jimmi, 1
usual point readi say someth mean click away hate mean peopl hate, 1
yes winter time hate ear get cold ocean citi boardwalk, 1
know realli gay, 1
keyboard u hate hate iphon keyboard yes touchscreen cool wish actual button number push less typo, 1
write book sccess new ventur bring fat fat number l hang buy son bunch cute cloth, 1
fuck mcgaffigan want go nao, 1
bash nickelback listen staind wtf hate btw, 1
nomin badhors shorti award green fuck, 1
joann angel know much hate right p lt number xxxorcist, 1
also lost wallet weekend suck case dumb appear drop somewher, 1
dunno saw go top stair seem like ass slide, 1
crazi boy fuck sleep schedul probabl mind much, 1
hugh daughter hate see femal ceo step say compani evolv aaarrrg, 1
damn fool number workhors, 1
damn homi highschool man homi fuck happen, 1
ur number get fuck internet get back play ur easi bake oven stupid parent buyin brat iphon, 1
q tell suck dark play suspect lol, 1
that set back bitch send ish back, 1
lol fuck concert, 1
hate last one rewrot cuz typo bother, 1
oop forgiven hope win never good exp shelter hate us militari type glad though, 1
fuck yo couch, 1
ground kick ass lol, 1
make mind go w girl vip style leav dog home alon till morn stay go gay pj parti, 1
oh hannah sorri loss done deathb vigil suck hope pain eas time love, 1
happi birthday damn sexi hobo, 1
celebr drink fact annoy fuck, 1
noth think go flame lip concert hate go alon, 1
dude talk univers leweb awesom nerd guy watch, 1
jerri cowboy problem hire real coach cuz credit go poster child attn whore, 1
u r pussi lulz, 1
hate especi irrelev crap, 1
yes freakin number colleg sinc number ugh suck hah, 1
spotti network switch heartbeat verizon kick serious ass, 1
fart like fuck bass drum lol, 1
da drilli wit dat oh still got distribut japan damn chick worst night, 1
sign dont fuck rat, 1
omg hate scottiethehotti retard spammer photographer08 got delet, 1
fuck, 1
bother argu bush anymor peopl admir damn near power post number elect, 1
think nudg chang updat whore nail, 1
hate, 1
twitter number week number shi number make loser lol lol lol, 1
well either wy thi like dick wayyy much, 1
cluster fuck inde, 1
dang hate littl button go back one tweet, 1
iron normal hate plastic number environment reason time actual save pattern wet grass, 1
god damn ok peter duncan, 1
damn overload issu, 1
killer wish even cool damn near number week near festiv temp, 1
ugh yes consum whore, 1
shut fuck, 1
hear ya ipod get annoy damn click nois, 1
dude u didnt tell number fuck thing twittr wud prob still b lyk nowher, 1
hate decid thing, 1
eddi izzard say brit pronounc herb h fuck h, 1
feel like nerd watch love, 1
name, 1
would believ articl said eat less help us live longer damn scientist, 1
gay lt number, 1
dude bar total look like kick ass imperson, 1
awesom peopl flock guess cool fuck, 1
fail whale, 1
oh lol use client never get fail whale p, 1
could type hard enough happen lot first got laptop number week ago suck ass, 1
damn son, 1
fuck world win, 1
itun antrel roll preview today min game best damn sport show podcast, 1
oh come mean love hate myzou one thing hate myzou anoth take time machin 70s, 1
dont hate gut, 1
make mme smile lol hate still dont bring bc us dead non exist, 1
hope way fuck continu, 1
effin cunt ihu, 1
dude suck man, 1
im glad meet someon similar freak gift haha, 1
read emac rail codebas see emac damn cool, 1
omg omg omg final shoe r come yay yay want bad fuck cancer literari made day, 1
god free cure show damn know live close ugh lucki lucki, 1
celebr birthday birthday drink ok forget marathon hate stickler, 1
damnit start new short stori dentist fuck, 1
friend marri gay burn bad want number even think anoth relationship, 1
well pussi sure man substanc look lol settl know want, 1
fail whale, 1
burger hand wut fat ass lol, 1
yo peep last 30min saw thought figur naaah bitch look way broker lol yike, 1
yeah id like nigga white chick club knock fuck shit u old bitch clubin, 1
yeah pretti cool got moment like ehhhh idk id fuck ass lick wud depend nite, 1
son got finish watchin big momma hous wow damn sure milf that bonus, 1
rapperbigpooh sheila easton nah chick use fuck princ right, 1
damn fuck skippi onth shit, 1
oldest son turn number month youngest number week old damn dude u look young number year old, 1
bill donahu serious ask use hate speech gay women jew mayb listen complaint, 1
use shop wife stop work year back took damn cold april, 1
got done bust ass day need booz, 1
that hate megavideo see get someon updat episod offshor video hoster, 1
cunt, 1
suck loxi wish smtg could churi back cgi well, 1
arab pussi count reach number million said bunch pussi offenc pussi, 1
yeah seem like time unexplain high relat bad site fat delay, 1
duh fat fish win lotteri go hand hand, 1
politician pass ethic exam 2x year wonder piss test, 1
alor nerd number tait bien vous avez du number tre foll pendant lapdanc xd number samediiii lt number, 1
np happi servic anyth compar hate number work citi whirlpool like exe, 1
lmmfao shuddup grown ass man let grownass men call timmi gaaaaay, 1
think like first one better beat harri potter though damn rubbish, 1
look im sit home twitter ass friday night know better anyon lol, 1
lmao damn right aint talkin bout, 1
fuck wit low dope know got fam trippin, 1
lol britt said look like big ass pillow fight outsid, 1
wow suck merri christma honey wow celebr first one bs, 1
damn skippi demand see leav go come meet blendmom, 1
arsclan would freak u tower def build seri midiev like tower upgrad near pathway continu attack, 1
liber gay atheist republican fund raiser jump, 1
gonna stab bitch scissor knife spear sword cock pencil dildo cattl prod broken glass, 1
let delta chi fuck ass raleigh nc took bahama breez seal deal take much, 1
sure look blog w wine bottl ass, 1
like fuck tweetup, 1
better give dochobb nerd prize nicest nerd know, 1
dude ep sick pussi tween u jam, 1
lol zack thing btw thank lead chipeft reqd born loser guid abund, 1
damn jet hear hope happier fuck futur blink, 1
pussi still sad miss blink think affect popular evil grin, 1
shake head call kitti pussi boy know lol, 1
work limit bankrol run bad go broke night also fuck poker, 1
hate background click list link find frustrat, 1
yes definit element bush fatigu wait til ship ass back texa, 1
dat bitch left u lol, 1
fuck crazi josh, 1
call emo cut, 1
hate know french french use french know, 1
dncr1804 even know said emo esqu, 1
twitch hate j k, 1
oh man suck sorri suck live peopl dirti trust relat, 1
felt way number week ago proceed watch whole damn thing lol, 1
well send two get fat rest, 1
right uv filter came kit suck freakin glare spot shot, 1
parti bore fuck god need grown man parti, 1
like gay peopl use f word somehow allow, 1
damn unfair version firefox white slight bald men, 1
serious help take piss, 1
home miss wont let drink beer tonight cus gotta shit tomorow morn suck, 1
life bitch sleep cousin death whole dam famili need help, 1
tell fuck give year laugh much better, 1
interest point one heard copper elec motor damn love twitter, 1
agre entir hate see graph twitter input week, 1
guy walk bar duck head bartend say help duck say yeah get guy ass, 1
nazi facist could call commi pig gentleman like gaza, 1
miss wish corpor instead damn aquarium miss jimmi hotdog dog food jumpin lol, 1
nomin yiyinglu shorti award design design fail whale, 1
lol hate gut p, 1
realli want one damn even realis need one til told exist, 1
niiic likewis sure boricua gave away ah yes boricua good tast rob pattinson hehe damn sexi brit lol, 1
hate wait till jan big game lol tedious tell ya, 1
would least 4gb guess use atm leech ur ass welcom lend, 1
meh year round babi actual grow like fuck moment except caterpillar incid yesterday, 1
hate ghajini awesom movi, 1
hard work leisur read poser, 1
god ashley bitch still congrat, 1
cri like fuck woman bitch god hate yolanda get mad think lol, 1
unless adob get head ass flash die mobil domin platform, 1
lobster ligatur portland area type nerd, 1
touch hate get shut guess get pray humil least better student, 1
seem attn whore comment, 1
post fat man version beyonc song, 1
bitch wish keep dreamin, 1
lol think huge bitch good entertain time, 1
ah hate bitch want bob sugar win, 1
prefer women fat place anyway fat toe earlob cute, 1
nigella bit teas reckon imagin fat stayin, 1
twinfac atcq drunk ass type lol, 1
compar eeyor stupid bear dement pig think number fine, 1
fat lot good mediev histori degre day, 1
own one fix em hate electr go hade, 1
unnecessari pain ass much effort, 1
damn ecoterrorist shoulda rent helicopt better enviro anyway, 1
read archiv artil old site love jone comparison much hate mail get, 1
forgot number call gay 2day blast, 1
miss back haiku famous dickenson exact sure poetri suck, 1
dick h cot4 attitud caus wipe made bigger dick vicious circl, 1
heard 2do fairi tht come ur 2do list u put list freplc kinda like leav cooki number fat guy, 1
got number bigger keyboard got fat thumb, 1
yo anoth show tomorrow cuz record past two day damn album, 1
ok believ told hater momlog kiss million dollar ass, 1
oh gdnss jus saw vlog wow met fool yrs ago mj restaur dc loser, 1
yeah say cnn decid would good move suck tri support, 1
loovvee chicken damn also realli complain sinc found chicken better mood, 1
social network whore, 1
hate dms mani reason one send someon follow pain, 1
anoth reason hate dms ring sms even though often lame ad urgent sender, 1
respond ask yes vari think gay marriag immor think peopl bigot, 1
hate hate thousand hate, 1
wait second mr fanboy cant judg without see alreadi think suck even, 1
clear manufactur rare use common sens make custom happi easili piss make, 1
realli suck sorri get shitfac stuck plateau, 1
fuck feel silli work hard, 1
wow bang bros ish watch tho damn wanna see lol, 1
damn prolli wanna know lol, 1
hmmm feel bout u damn label wow, 1
could jobless prais god despit much ya hate come least come rather lol, 1
ohhhh jeez suck hope get well, 1
damn clue talk better halv, 1
pussi, 1
dang need stop eat chees damn kraft, 1
oh jeez merci forgotten fatman assholeman piss everyon complet fuck, 1
sorri man hope stop ass bleed soon wow awkward think, 1
hahaha look emo poor guy that prefer drum, 1
guess song repres bono dark period fuck save happi wealth, 1
alway respond use gay ask subject realli fag licious, 1
hate near everyth first two hp movi, 1
georg luca guid suck cock, 1
yah tri want cop damn static place make laptop jump fookin place augh, 1
yah think lose fat shovelin guess eat browni done negat someth hah, 1
clue damn homi, 1
damn break bread, 1
damn dame lil magic need sign love boobi, 1
man got garag hit stair damn fast lmao im like look nicca lol, 1
serious oh great giant american flag wtf suppos fuck send price right, 1
alway hate peopl bought practic thing like carpet knife set buy fuck dalmatian peopl, 1
know damn well boss go leav earli mous away, 1
omg would shop ass like zero long term goal, 1
better shit ass falafel box eat week sure, 1
thank big babi lol incred dog hate think life without pain butt self, 1
realli depend situat get mad call old girl get freak, 1
take ur ass home, 1
haha emo lawn dig, 1
lol disagre dick box got built funnier saw jiz pant rock, 1
dude whale rememb, 1
imagin get away bitch climax scene parodi, 1
could call nerd land charg ppl 2bit gander, 1
yeah fuck predict text, 1
omg know everyon tell twitter whore lol, 1
yeah huge ass rant go die alon go regret ever break, 1
doll know fuck feelingggggg thank god recom weekend forc fucker get, 1
fuck xmas give receiv present whenev feel presentyyyy lt number, 1
hell yeah drunker better drunker word drunk think drunk fuck show hood drunken, 1
fuck want pm even politician tire get anal rape without lube, 1
serious fuck soft countri french put shit, 1
piss readi go mumbai fuck ass soft need start blow shit, 1
rofl got monkey would total kick bruce lee ass bow superior wisdom, 1
let us live anywher without come ass want move, 1
fuck yeah ryan ross il lyric way wbeckett tbh donut care make sens btw roll stone fail, 1
fuck u asshol aint even watchin game shyt slda goten closer cn c betr r cheerlead number ya, 1
ud lyk suxd ur dick bt id kill rit b4 kill u, 1
hes goin dwn cld kick ass n domin, 1
mayb sldnt cum mofo boxer n danc around hes guna b jumpin around n junk fall, 1
yeah u call ass clown lmao like uhhhh welllll hahahaah, 1
ohhh hate snow day make later, 1
woot number pound awesom yes number pound time need get ass gear, 1
damn harem lead shout kouhai would interest result chao, 1
think thing note everyon emo phrase romanc high school eventu blow, 1
happen number also would accept number number number bitch, 1
sure glad found someth better listen would hate hear make news way, 1
top three tip number scan updat number pay attent repli number set time limit suck day, 1
coolest damn thing yet put websit yet pretti simpl ap use huge pic, 1
yeah teas dad got new snow blower said much hate rain shovel get home snow, 1
oh guy dark knight total wear guy liner gay, 1
damn u burn spaghetti, 1
ferrel suck dick go yim, 1
church also suck dick, 1
may hate lot right pleas die, 1
hahahahahahjdshgskdg hate much, 1
job made feel like tool tri chang consum thing fuck cvs, 1
holi fuck would make pasta someth ridicul, 1
go spend much fuck pizza least go mellow mushroom somewher disgust, 1
work glorous sat crazi ass shopper, 1
happen run word gay word, 1
fuck epic, 1
nomin phillyd shorti award entertain emo, 1
admit secret train rsa beaker see cigar red bull whoop ass nice, 1
yea brang yo ass son essenc stay w thanxxxxxx soni woop woop n da poop poop, 1
hate wed u shud grate male worri u got wear, 1
dick whittington lolcat doin cap lolspeak sorri fer confyushion twitpanto, 1
twin watch one guy suck hammer, 1
peta ass articl big time, 1
canadian alway make think shut fuck face uncl fucker, 1
oh case wtf that ugli ass shit, 1
midget w hookhand hangin collar im fuck dead buri e dead, 1
hate peopl sometim today one usual day, 1
well shit know catch fuck interest say lol, 1
lmfao hurri get fuck lyric, 1
ill settl bitch real quick, 1
work cape cod fuck earli argh stupid cousin brother, 1
damn twitpic shizzl, 1
dont hate ur life, 1
dont hate, 1
hate ism much next guy shoe fit, 1
oh conserv mean good point admir mani socialist hate ideal social bring, 1
tell loser tudd turn fuck phone, 1
whoever creat chocol pecan pie thank thank big fat ass, 1
hate sprint tri jog stop eggnog, 1
cont must rt everi littl thing someon say damn feel sorri friend, 1
rt go fuck stay fucl live hope die horrend death watch, 1
die queen civil queen hell starbuck mcdonald damn near everi corner fun, 1
work hate, 1
sometim hate contagi us cultur, 1
eye followng creepi damn creepi smile make wors, 1
cock flavor season wtf, 1
depend deal pain slut, 1
go find woman teas make cum silent work, 1
exact poor kid damn thing watch weird video youtub argh, 1
probabl say kind phoni shit giggl like number year old god hate, 1
make sick think cool youth cuz watch show phoni bitch, 1
let gay togeth, 1
hahah word set fuck hezay, 1
damn straight, 1
well mine doubl flare fuck homo bitch cunt get aggriv, 1
hate, 1
kurt watch tv station central ohio ass number alreadi lol cooler, 1
jtp douchebag b stewart kick ass, 1
cunt wait u start shit gift sent jew, 1
dick suck moment lol happi new year, 1
week fuck, 1
ur mom last night naww like old fat white bitch number, 1
damn got bwnt head tonight, 1
frickin turnov dang flag sd gonna beat ass denver go blow number game lead deserv win, 1
meant boo whore, 1
whore lol, 1
yep real ass everybodi know, 1
wow bought fashion gay biker bar congrat, 1
yeah u asian ass embrac, 1
would fanci jeff resid bitch pet take walk stuff straighten hair, 1
clear said would fuck anyon, 1
lol ur bitch done honduran chilean need closet gay peruvian dress better, 1
number damn miss quit keep track year buffi went air, 1
damn cat snuck aidan crib 1st time woke scream went squeez kick tummi, 1
cont say whole sheet cost number number buy one get fuck way, 1
yes rememb tri keep lash award year never fuck wear damn thing, 1
hate surviv eagl stompin giant alon get us playoff cowgurl gotta lose, 1
lox f k keep thoro prodigi run fat joe come thru style nore broken languag smooth, 1
sir ass, 1
